"Alpha_Abreviation","Numerical_Conversion","LowRange","HighRange"
"A","0-50","0","50"
"AA","300,000,000-500,000,000","300,000,000","500,000,000"
"B","51-100","51","100"
"BB","500,000,001-750,000,000","500,000,001","750,000,000"
"C","101-500","101","500"
"CC","750,000,001-1,000,000,000","750,000,001","1,000,000,000"
"D","501-1,000","501","1,000"
"DD","1,000,000,001-1,500,000,000","1,000,000,001","1,500,000,000"
"E","1,001-5,000","1,001","5,000"
"EE","1,500,000,001-2,000,000,000","1,500,000,001","2,000,000,000"
"F","5,001-10,000","5,001","10,000"
"FF","2,000,000,001-3,000,000,000","2,000,000,001","3,000,000,000"
"G","10,001-50,000","10,001","50,000"
"GG","3,000,000,001-4,000,000,000","3,000,000,001","4,000,000,000"
"H","50,001-100,000","50,001","100,000"
"HH","4,000,000,001-5,000,000,000","4,000,000,001","5,000,000,000"
"I","100,001-500,000","100,001","500,000"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
